
---------- Begin Simulation Statistics ----------
simSeconds                                   0.022738                       # Number of seconds simulated (Second)
simTicks                                  22738367000                       # Number of ticks simulated (Tick)
finalTick                                 22738367000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    293.90                       # Real time elapsed on the host (Second)
hostTickRate                                 77367143                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     803260                       # Number of bytes of host memory used (Byte)
simInsts                                     21343836                       # Number of instructions simulated (Count)
simOps                                       39396425                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    72622                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     134046                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         45476735                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        41271174                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    17690                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       40870014                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      8                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1892433                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2403644                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               17672                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            43690808                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.935437                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.324749                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  24103643     55.17%     55.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7888230     18.05%     73.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6115537     14.00%     87.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3172292      7.26%     94.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1276045      2.92%     97.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    788101      1.80%     99.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    239587      0.55%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    107357      0.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        16      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              43690808                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
