
---------- Begin Simulation Statistics ----------
simSeconds                                   0.021088                       # Number of seconds simulated (Second)
simTicks                                  21088466000                       # Number of ticks simulated (Tick)
finalTick                                 21088466000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    256.26                       # Real time elapsed on the host (Second)
hostTickRate                                 82293175                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     803252                       # Number of bytes of host memory used (Byte)
simInsts                                     21343836                       # Number of instructions simulated (Count)
simOps                                       39396425                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    83290                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     153736                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         42176933                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        43720201                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    19354                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       42745938                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    172                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4343124                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5824397                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               19336                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            40136660                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.065010                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.622495                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  23578594     58.75%     58.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5133853     12.79%     71.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4404805     10.97%     82.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2831873      7.06%     89.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2046671      5.10%     94.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1215502      3.03%     97.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    495172      1.23%     98.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    369890      0.92%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     60300      0.15%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              40136660                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
