
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020052                       # Number of seconds simulated (Second)
simTicks                                  20052399500                       # Number of ticks simulated (Tick)
finalTick                                 20052399500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    279.56                       # Real time elapsed on the host (Second)
hostTickRate                                 71727559                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     803276                       # Number of bytes of host memory used (Byte)
simInsts                                     21343836                       # Number of instructions simulated (Count)
simOps                                       39396425                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    76347                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     140921                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         40104800                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        46597818                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    19360                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       44775681                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1220                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7220747                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          10278559                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               19342                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            37993874                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.178497                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.865382                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  23425446     61.66%     61.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3452868      9.09%     70.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3175846      8.36%     79.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2542752      6.69%     85.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2290646      6.03%     91.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1457288      3.84%     95.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    893908      2.35%     98.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    510567      1.34%     99.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    244553      0.64%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              37993874                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      0.00% # attempts to use FU when none available (Count)
