
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020056                       # Number of seconds simulated (Second)
simTicks                                  20055640000                       # Number of ticks simulated (Tick)
finalTick                                 20055640000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    289.04                       # Real time elapsed on the host (Second)
hostTickRate                                 69388038                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     803324                       # Number of bytes of host memory used (Byte)
simInsts                                     21343836                       # Number of instructions simulated (Count)
simOps                                       39396425                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    73845                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     136303                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         40111281                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50795022                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    19357                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       47130855                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  29255                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11417948                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          19557205                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               19339                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            37997493                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.240367                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.001100                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  23703916     62.38%     62.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3248199      8.55%     70.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2778405      7.31%     78.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2386547      6.28%     84.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2098074      5.52%     90.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1537168      4.05%     94.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1093500      2.88%     96.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    686403      1.81%     98.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    465281      1.22%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              37997493                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%      0.00% # attempts to use FU when none available (Count)
